genus	primary_lifestyle	secondary_lifestyle	plant_endophytic_capability	plant_pathogenic_capacity	decay_substrate	decay_type	aquatic_habitat	animal_biotrophic	specific_host	growth_form	fruitbody_type	hymenium_type	ectomycorrhiza_exploration_type	ectomycorrhiza_lineage	primary_photobiont	secondary_photobiont
Muricopeltis	unspecified_saprotroph									filamentous_mycelium						
Muroia	unspecified_saprotroph									filamentous_mycelium						
Mycocryptospora										filamentous_mycelium						
Mycodidymella	plant_pathogen			leaf/fruit/seed_pathogen			non-aquatic		Aesculus	filamentous_mycelium						
Mycoglaena	unspecified_saprotroph									filamentous_mycelium						
Mycoporellum	lichenized						non-aquatic			thallus_photosynthetic	"perithecium_(hymenium_hidden,_narrow_opening)"	closed			trentepohlioid	
Mycoporopsis										filamentous_mycelium						
Mycothyridium										filamentous_mycelium						
Myriangiopsis										filamentous_mycelium						
Myriostigmella										filamentous_mycelium						
Mytilostoma										filamentous_mycelium						
Neocladophialophora	wood_saprotroph				wood		non-aquatic			filamentous_mycelium						
Neodactylaria										filamentous_mycelium						
Neoovularia	plant_pathogen			leaf/fruit/seed_pathogen			non-aquatic			filamentous_mycelium						
Neoramularia	plant_pathogen			leaf/fruit/seed_pathogen						filamentous_mycelium						
Neosporidesmium	wood_saprotroph				wood		non-aquatic			filamentous_mycelium						
Neottiosporina	litter_saprotroph				leaf/fruit/seed					filamentous_mycelium						
Neoventuria										filamentous_mycelium						
Omphalospora	unspecified_saprotroph									filamentous_mycelium						
Oncopodiella	wood_saprotroph				wood		non-aquatic			filamentous_mycelium						
Ophioirenina	plant_pathogen			unspecified_plant_pathogen						filamentous_mycelium						
Ophiotrichum										filamentous_mycelium						
Parmulariella										filamentous_mycelium						
Paropodia										filamentous_mycelium						
Passeriniella	wood_saprotroph				wood	soft_rot	partly_aquatic			filamentous_mycelium						
Passerinula										filamentous_mycelium						
Pauahia	plant_pathogen			unspecified_plant_pathogen						filamentous_mycelium						
Peltaster	plant_pathogen			unspecified_plant_pathogen						filamentous_mycelium						
Peltasterella										filamentous_mycelium						
Pendulispora	unspecified_saprotroph									filamentous_mycelium						
Perischizon	plant_pathogen			unspecified_plant_pathogen						filamentous_mycelium						
Peroschaeta										filamentous_mycelium						
Petrakina	foliar_endophyte	litter_saprotroph	foliar_endophyte		leaf/fruit/seed		non-aquatic			filamentous_mycelium						
Petrakiopeltis	unspecified_saprotroph									filamentous_mycelium						
Phaeocyrtidula										filamentous_mycelium						
Phaeopeltosphaeria	wood_saprotroph				wood		non-aquatic			filamentous_mycelium	"perithecium_(hymenium_hidden,_narrow_opening)"	closed				
Phaeosclera	litter_saprotroph				leaf/fruit/seed		non-aquatic			filamentous_mycelium						
Phaeosperma										filamentous_mycelium						
Phaeostigme	plant_pathogen			leaf/fruit/seed_pathogen						filamentous_mycelium						
Phaeotomasellia										filamentous_mycelium						
Phanerococculus										filamentous_mycelium						
Philobryon	moss_symbiont		moss-associated	moss-associated						filamentous_mycelium						
Philonectria	mycoparasite	fungal_decomposer			fungal_material		non-aquatic			filamentous_mycelium						
Phragmaspidium	unspecified_saprotroph									filamentous_mycelium						
Phragmoscutella										filamentous_mycelium						
Phragmosperma	plant_pathogen			leaf/fruit/seed_pathogen			non-aquatic			filamentous_mycelium						
Phycorella	lichenized						non-aquatic			thallus_photosynthetic						
Physalosporopsis										filamentous_mycelium						
Pirozynskia	foliar_endophyte	litter_saprotroph	foliar_endophyte		leaf/fruit/seed		non-aquatic			filamentous_mycelium						
Placoasterina	foliar_endophyte	litter_saprotroph	foliar_endophyte		leaf/fruit/seed		non-aquatic			filamentous_mycelium						
Placodothis										filamentous_mycelium						
Placomelan	plant_pathogen			unspecified_plant_pathogen						filamentous_mycelium						
Placosphaeria	plant_pathogen			leaf/fruit/seed_pathogen			non-aquatic			filamentous_mycelium						
Plagiostromella										filamentous_mycelium						
Plejobolus	litter_saprotroph				leaf/fruit/seed		non-aquatic			filamentous_mycelium						
Plenotrichaius	plant_pathogen			leaf/fruit/seed_pathogen			non-aquatic			filamentous_mycelium						
Pleomerium	plant_pathogen			unspecified_plant_pathogen						filamentous_mycelium						
Pleotrichiella	plant_pathogen			leaf/fruit/seed_pathogen			non-aquatic			filamentous_mycelium						
Pleuropassalora										filamentous_mycelium						
Polycyclinopsis	unspecified_saprotroph									filamentous_mycelium						
Polyrhizon	plant_pathogen			unspecified_plant_pathogen						filamentous_mycelium						
Polysporidiella										filamentous_mycelium						
Polystomellopsis										filamentous_mycelium						
Proliferosphaera	plant_pathogen			leaf/fruit/seed_pathogen			non-aquatic			filamentous_mycelium						
Pseudoarthrographis	plant_pathogen			leaf/fruit/seed_pathogen						filamentous_mycelium						
Pseudomorfea	plant_pathogen			leaf/fruit/seed_pathogen			non-aquatic			filamentous_mycelium						
Pseudopleospora										filamentous_mycelium						
Pseudorobillarda	wood_saprotroph				wood		partly_aquatic			filamentous_mycelium						
Punctillum										filamentous_mycelium						
Pyrenobotrys	plant_pathogen			unspecified_plant_pathogen						filamentous_mycelium						
Pyrenochium										filamentous_mycelium						
Pyrenocyclus										filamentous_mycelium						
Pyrenostigme										filamentous_mycelium						
Quasiphloeospora	plant_pathogen			unspecified_plant_pathogen						filamentous_mycelium						
Radulidium	unspecified_saprotroph						partly_aquatic			filamentous_mycelium						
Rhabdospora	unspecified_saprotroph						partly_aquatic			filamentous_mycelium						
Rhizotexis	plant_pathogen			unspecified_plant_pathogen						filamentous_mycelium						
Rhopographus	plant_pathogen			unspecified_plant_pathogen						filamentous_mycelium						
Robillardiella										filamentous_mycelium						
Rosellinula	lichen_parasite	fungal_decomposer			"fungal_material,algal_material"		non-aquatic			filamentous_mycelium	"perithecium_(hymenium_hidden,_narrow_opening)"	closed				
Rosenscheldia	plant_pathogen	wood_saprotroph		wood_pathogen	wood					filamentous_mycelium						
Roumegueria	plant_pathogen			leaf/fruit/seed_pathogen			non-aquatic			filamentous_mycelium						
Rupestriomyces	unspecified_saprotroph	rock-inhabiting			soil					filamentous_mycelium						
Saccardoella	wood_saprotroph				wood		partly_freshwater_(partly_non-aquatic)			filamentous_mycelium	"perithecium_(hymenium_hidden,_narrow_opening)"	closed				
Sapucchaka	unspecified_saprotroph									filamentous_mycelium						
Saxomyces	unspecified_saprotroph	rock-inhabiting			soil		non-aquatic			filamentous_mycelium	"perithecium_(hymenium_hidden,_narrow_opening)"	closed				
Scolecobonaria										filamentous_mycelium						
Scolecoxyphium	unspecified_saprotroph									filamentous_mycelium						
Scolionema	plant_pathogen			unspecified_plant_pathogen						filamentous_mycelium						
Semisphaeria	plant_pathogen			unspecified_plant_pathogen					Myrica	filamentous_mycelium						
Septoidium	plant_pathogen			unspecified_plant_pathogen						filamentous_mycelium						
Shivamyces	foliar_endophyte	litter_saprotroph	foliar_endophyte		leaf/fruit/seed		non-aquatic			filamentous_mycelium						
Sivanesaniella	plant_pathogen			unspecified_plant_pathogen						filamentous_mycelium						
Soloacrosporiella	plant_pathogen			leaf/fruit/seed_pathogen					Acacia	filamentous_mycelium						
Stegothyrium	unspecified_saprotroph									filamentous_mycelium						
Stephanotheca	plant_pathogen			unspecified_plant_pathogen						filamentous_mycelium						
Stigmatodothis	unspecified_saprotroph									filamentous_mycelium						
Stigmatophragmia	unspecified_saprotroph									filamentous_mycelium						
Stromatopogon	lichen_parasite	fungal_decomposer			"fungal_material,algal_material"		non-aquatic			filamentous_mycelium	none	none				
Symphaster	foliar_endophyte	litter_saprotroph	foliar_endophyte		leaf/fruit/seed		non-aquatic			filamentous_mycelium						
Taphrophila	unspecified_saprotroph									filamentous_mycelium	"perithecium_(hymenium_hidden,_narrow_opening)"	closed				
Teichosporella	wood_saprotroph				wood		non-aquatic			filamentous_mycelium						
Teratoschaeta	lichen_parasite	fungal_decomposer			"fungal_material,algal_material"		non-aquatic			filamentous_mycelium						
Tetracrium	unspecified_saprotroph									filamentous_mycelium						
Thalassoascus	wood_saprotroph				wood		marine			filamentous_mycelium	"perithecium_(hymenium_hidden,_narrow_opening)"	closed				
Thryptospora	wood_saprotroph				wood		non-aquatic			filamentous_mycelium						
Thyriodictyella	unspecified_saprotroph									filamentous_mycelium						
Tilakiella										filamentous_mycelium						
Tomeoa										filamentous_mycelium						
Torulopsiella										filamentous_mycelium						
Trematosphaeriopsis	lichen_parasite	fungal_decomposer			"fungal_material,algal_material"		non-aquatic			filamentous_mycelium	"perithecium_(hymenium_hidden,_narrow_opening)"	closed				
Tretospora	plant_pathogen			unspecified_plant_pathogen						filamentous_mycelium						
Trichodothella	plant_pathogen			unspecified_plant_pathogen						filamentous_mycelium						
Trichodothis	plant_pathogen			unspecified_plant_pathogen						filamentous_mycelium						
Trichometasphaeria	litter_saprotroph				leaf/fruit/seed		non-aquatic			filamentous_mycelium						
Trichothyriella	unspecified_saprotroph									filamentous_mycelium						
Triscelophorus	foliar_endophyte	litter_saprotroph	foliar_endophyte		leaf/fruit/seed		non-aquatic			filamentous_mycelium						
Uredinophila	unspecified_saprotroph									filamentous_mycelium						
Wentiomyces	plant_pathogen			unspecified_plant_pathogen						filamentous_mycelium						
Westea	plant_pathogen			leaf/fruit/seed_pathogen					Banksia	filamentous_mycelium						
Wettsteinina	litter_saprotroph				leaf/fruit/seed		partly_freshwater_(partly_non-aquatic)			filamentous_mycelium						
Xenostomella	unspecified_saprotroph									filamentous_mycelium						
Xylopezia	wood_saprotroph				wood					filamentous_mycelium						
Yoshinagaia	plant_pathogen			leaf/fruit/seed_pathogen			non-aquatic			filamentous_mycelium	"perithecium_(hymenium_hidden,_narrow_opening)"	closed				
Yoshinagella	plant_pathogen			leaf/fruit/seed_pathogen			non-aquatic		Quercus	filamentous_mycelium	"perithecium_(hymenium_hidden,_narrow_opening)"	closed				
Yuccamyces																
Dysrhynchis	plant_pathogen	litter_saprotroph	no_endophytic_capacity	leaf/fruit/seed_pathogen	leaf/fruit/seed		non-aquatic			filamentous_mycelium	"perithecium_(hymenium_hidden,_narrow_opening)"	closed				
Allosoma	epiphyte	plant_pathogen	no_endophytic_capacity	leaf/fruit/seed_pathogen	leaf/fruit/seed		non-aquatic			filamentous_mycelium	"perithecium_(hymenium_hidden,_narrow_opening)"	closed				
Digitosarcinella	litter_saprotroph		no_endophytic_capacity		leaf/fruit/seed		non-aquatic			filamentous_mycelium						
Englerula	plant_pathogen	epiphyte	no_endophytic_capacity	leaf/fruit/seed_pathogen	leaf/fruit/seed		non-aquatic			filamentous_mycelium	"perithecium_(hymenium_hidden,_narrow_opening)"	closed				
Goosia	plant_pathogen	litter_saprotroph	no_endophytic_capacity	leaf/fruit/seed_pathogen	leaf/fruit/seed		non-aquatic			filamentous_mycelium	"perithecium_(hymenium_hidden,_narrow_opening)"	closed				
Parenglerula	plant_pathogen	litter_saprotroph	no_endophytic_capacity	leaf/fruit/seed_pathogen	leaf/fruit/seed		non-aquatic			filamentous_mycelium	"perithecium_(hymenium_hidden,_narrow_opening)"	closed				
Rhytidenglerula	plant_pathogen	litter_saprotroph	no_endophytic_capacity	leaf/fruit/seed_pathogen	leaf/fruit/seed		non-aquatic			filamentous_mycelium	"perithecium_(hymenium_hidden,_narrow_opening)"	closed				
Sarcinella	plant_pathogen	litter_saprotroph	no_endophytic_capacity	leaf/fruit/seed_pathogen	leaf/fruit/seed		non-aquatic			filamentous_mycelium	"perithecium_(hymenium_hidden,_narrow_opening)"	closed				
Thrauste	plant_pathogen	litter_saprotroph	no_endophytic_capacity	leaf/fruit/seed_pathogen	leaf/fruit/seed		non-aquatic			filamentous_mycelium	"perithecium_(hymenium_hidden,_narrow_opening)"	closed				
Arthrographis	unspecified_saprotroph	animal_decomposer	no_endophytic_capacity		animal_material		partly_aquatic			filamentous_mycelium						
Eremomyces	soil_saprotroph	dung_saprotroph	no_endophytic_capacity		"soil,dung"		non-aquatic			filamentous_mycelium	"perithecium_(hymenium_hidden,_narrow_opening)"	closed				
Rhexothecium	soil_saprotroph		no_endophytic_capacity		soil		non-aquatic			filamentous_mycelium	"perithecium_(hymenium_hidden,_narrow_opening)"	closed				
